Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads  
"Sinatra & Co.",https://www.linkedin.com/company/sinatra-and-company,Very Low,,,54,,,,,  
"ICON",https://www.linkedin.com/company/icon3dtech,Very Low,,,53,,,,,  
"Weber Logistics",https://www.linkedin.com/company/weber-logistics,Low,,,53,,3,,,  
"KCC Companies",https://www.linkedin.com/company/kcc-international,High,,,52,4,17,,,  
"Property Reserve",https://www.linkedin.com/company/propertyreserve,Very Low,,,51,,,,,  
"Ecoservices",https://www.linkedin.com/company/eco-services-operations-llc,High,,,51,6,8,,,  
"Vision Government Solutions, Inc.",https://www.linkedin.com/company/vision-government-solutions-inc-,Very Low,,,51,,,,,  
"The Berg Group",https://www.linkedin.com/company/theberggroup,Very Low,,,51,,,,,  
"Kari-Out",https://www.linkedin.com/company/kari-out-co.,Medium,,,51,4,4,,,  
"Quartus Engineering",https://www.linkedin.com/company/quartus-engineering,Very Low,,,51,,,,,  
"Reef",https://www.linkedin.com/company/reef\_2,High,,,50,3,14,,,  
"Corning Incorporated",https://www.linkedin.com/company/corning-incorporated,Very Low,,,50,,,,,  
"Stewart Richey Contracting Group",https://www.linkedin.com/company/stewart-richey-construction-inc-,High,,,49,,11,,,  
"VSM Abrasives USA",https://www.linkedin.com/company/vsmusa,Very Low,,,48,,,,,  
"TMG Property Management Services NW",https://www.linkedin.com/company/tmgnorthwest,Very High,,,48,6,26,,,  
"Milhouse",https://www.linkedin.com/company/milhouse-engineering-and-construction-inc,Medium,,,48,,5,,,  
"SponsorUnited",https://www.linkedin.com/company/sponsorunited,High,,,47,7,12,,,  
"System Pavers",https://www.linkedin.com/company/system-pavers,High,,,47,,10,,,  
"ListEngage",https://www.linkedin.com/company/listengage,Very Low,,,47,,,,,  
"CEI Materials",https://www.linkedin.com/company/cei-composite-materials,Medium,,,46,6,6,,,  
"ITW Medical",https://www.linkedin.com/company/itw-medical,High,,,46,6,11,,,  
"General Shale",https://www.linkedin.com/company/general-shale,Very Low,,,46,,,,,  
"Hercules Sealing Products",https://www.linkedin.com/company/hercules-sealing-products,Very Low,,,45,,,,,  
"Centrisys/CNP",https://www.linkedin.com/company/centrisys-cnp,Medium,,,44,5,6,,,  
"Embree Group",https://www.linkedin.com/company/embree-group,Very Low,,,44,,,,,  
"Huyett",https://www.linkedin.com/company/g.l.-huyett,Very Low,,,43,,,,,  
"Xaloy LLC",https://www.linkedin.com/company/xaloy,Very Low,,,42,,,,,  
"dancker",https://www.linkedin.com/company/dancker,Medium,,,42,5,5,,,  
"RH-Relias Healthcare",https://www.linkedin.com/company/relias-healthcare,Medium,,,40,,3,,,  
"Galloway & Company, LLC",https://www.linkedin.com/company/gallowayus,Very Low,,,40,,,,,  
"Alterra Property Group",https://www.linkedin.com/company/alterraproperty,Medium,,,40,3,5,,,  
"Stark Enterprises",https://www.linkedin.com/company/starkcle,Very Low,,,40,,,,,  
"ADM",https://www.linkedin.com/company/adm,Very Low,,,40,,,,,  
"DG Foods LLC",https://www.linkedin.com/company/dgfoods,Very Low,,,39,,,,,  
"Relocity, Inc.",https://www.linkedin.com/company/relocity,Medium,,,38,,5,,,  
"AION Management",https://www.linkedin.com/company/aion-management,High,,,38,4,7,,,  
"Radians",https://www.linkedin.com/company/radians-inc,Medium,,,38,,3,,,  
"WRMC, Inc.",https://www.linkedin.com/company/wrmcinc,Very Low,,,38,,,,,  
"Morton Industries",https://www.linkedin.com/company/morton-industries-llc,Medium,,,37,4,4,,,  
"West Coast Medical Resources, LLC",https://www.linkedin.com/company/west-coast-medical-resources-llc,Very Low,,,37,,,,,  
"Two Dudes Painting Company",https://www.linkedin.com/company/two-dudes-painting-company,Medium,,,37,3,3,,,  
"CP Group",https://www.linkedin.com/company/cp-group-cre,Medium,,,37,,4,,,  
"Gold Bond, Inc",https://www.linkedin.com/company/goldbondinc,Medium,,,36,3,3,,,  
"Tedia",https://www.linkedin.com/company/tedia-company-inc,Very Low,,,36,,,,,  
"Brinkmann Constructors",https://www.linkedin.com/company/brinkmann-constructors,Very Low,,,36,,,,,  
"Sakata Seed America, Inc.",https://www.linkedin.com/company/sakata-seed-america-inc,Very High,,,36,5,18,,,  
"Ergodyne",https://www.linkedin.com/company/ergodyne,Very Low,,,36,,,,,  
"EnovaPremier, LLC",https://www.linkedin.com/company/enovapremier-llc,Very Low,,,35,,,,,  
"Swissturn/USA, Inc.",https://www.linkedin.com/company/swissturn-usa-inc-,Medium,,,35,,5,,,  
"Blentech Corporation",https://www.linkedin.com/company/blentech-corporation,High,,,35,6,8,,,  
"Land O'Lakes, Inc.",https://www.linkedin.com/company/landolakesinc,Very Low,,,35,,,,,  
"Magnolia Property Company",https://www.linkedin.com/company/magnoliapropertycompany,Very Low,,,34,,,,,  
"Robroy® Industries",https://www.linkedin.com/company/robroy-industries,Very Low,,,34,,,,,  
"Greysteel",https://www.linkedin.com/company/the-greysteel-company,Very Low,,,34,,,,,  
"Jaipur Living",https://www.linkedin.com/company/jaipur-living-inc,Medium,,,34,,4,,,  
"Property Management Inc.",https://www.linkedin.com/company/pmicorp,Medium,,,34,3,3,,,  
"Emmi Roth",https://www.linkedin.com/company/emmiroth,High,,,33,4,5,,,  
"Leppo, Inc.",https://www.linkedin.com/company/leppo-rents,Very Low,,,32,,,,,  
"FlavorSum",https://www.linkedin.com/company/flavorsumllc,Medium,,,32,3,3,,,  
"ITEX",https://www.linkedin.com/company/the-itex-group,Medium,,,32,3,4,,,  
"Elma Electronic",https://www.linkedin.com/company/elma-electronic,Very Low,,,32,,,,,  
"Hamadeh Educational Services",https://www.linkedin.com/company/hamadeh-educational-services,Very Low,,,32,,,,,  
"Craftsmen Industries, Inc.",https://www.linkedin.com/company/craftsmen-industries,Very Low,,,32,,,,,  
"OPKO Health, Inc.",https://www.linkedin.com/company/opko-health-inc.,Very Low,,,31,,,,,  
"Tooling Systems Group, Inc.",https://www.linkedin.com/company/tooling-systems-group-inc.,High,,,31,4,7,,,  
"Qosina",https://www.linkedin.com/company/qosina,Very Low,,,31,,,,,  
"Beltservice Corporation",https://www.linkedin.com/company/beltservice-corporation,Very Low,,,31,,,,,  
"Prototek Digital Manufacturing",https://www.linkedin.com/company/prototekllc,Medium,,,30,,3,,,  
"AgroLiquid",https://www.linkedin.com/company/agroliquid,Very Low,,,30,,,,,  
"Rubbercraft",https://www.linkedin.com/company/rubbercraft,Very Low,,,30,,,,,  
"Hatch Stamping Company",https://www.linkedin.com/company/hatch-stamping-and-assembly,Very Low,,,30,,,,,  
"Darley",https://www.linkedin.com/company/wsdarley,Very Low,,,30,,,,,  
"Rudolph and Sletten",https://www.linkedin.com/company/rudolph-and-sletten,Very Low,,,30,,,,,  
"PCV Murcor",https://www.linkedin.com/company/pcvmurcor,High,,,30,4,5,,,  
"Maury Microwave",https://www.linkedin.com/company/maury-microwave,Very Low,,,30,,,,,  
"Ira Green Inc.",https://www.linkedin.com/company/iragreen,Very Low,,,29,,,,,  
"Standard Communities",https://www.linkedin.com/company/standard-communities,High,,,29,4,6,,,  
"Universal Polymer & Rubber, Ltd.",https://www.linkedin.com/company/universal-polymer-&-rubber-ltd-,Medium,,,29,3,3,,,  
"City of Pearland, Texas",https://www.linkedin.com/company/city-of-pearland-texas,Very High,,,29,3,21,,,  
"Wise Construction",https://www.linkedin.com/company/wise-construction,Medium,,,29,,3,,,  
"Zatkoff Seals & Packings",https://www.linkedin.com/company/zatkoff,Very Low,,,28,,,,,  
"Compass",https://www.linkedin.com/company/compassinc,Very Low,,,28,,,,,  
"Atlantic Constructors, Inc.",https://www.linkedin.com/company/atlantic-constructors,Very Low,,,28,,,,,  
"The Armor Group, Inc.",https://www.linkedin.com/company/armor-metal-group,Very Low,,,28,,,,,  
"Dairy Farmers of America",https://www.linkedin.com/company/dairy-farmers-of-america,Very Low,,,28,,,,,  
"Ashley Furniture Industries",https://www.linkedin.com/company/ashley-furniture-industries,Very Low,,,28,,,,,  
"HOLLYWOOD WOODWORK",https://www.linkedin.com/company/hollywood-woodwork,Medium,,,28,3,3,,,  
"Nordco",https://www.linkedin.com/company/nordco,Very Low,,,28,,,,,  
"Alsco Uniforms",https://www.linkedin.com/company/alscouniforms,Very Low,,,28,,,,,  
"JBS USA",https://www.linkedin.com/company/jbsusa,Very Low,,,27,,,,,  
"Kwik Lok Corporation",https://www.linkedin.com/company/kwiklokcorporation,Very Low,,,27,,,,,  
"4Patriots",https://www.linkedin.com/company/4patriots,Very Low,,,27,,,,,  
"Maldonado Nursery & Landscaping Inc.",https://www.linkedin.com/company/maldonado-nursery,Very Low,,,27,,,,,  
"Boat Outfitters",https://www.linkedin.com/company/boat-outfitters,High,,,27,,5,,,  
"UNITERS",https://www.linkedin.com/company/uniters-north-america,Very Low,,,27,,,,,  
"Perry's Ice Cream",https://www.linkedin.com/company/perry's-ice-cream,Very Low,,,27,,,,,  
"Lungpacer Medical",https://www.linkedin.com/company/lungpacer-medical,Very Low,,,26,,,,,  
"Haydon",https://www.linkedin.com/company/haydon-companies,Very Low,,,26,,,,,  
"Nifco America Corp.",https://www.linkedin.com/company/nifco-america-corp,Very Low,,,26,,,,,  
"Logistics Property Company, LLC",https://www.linkedin.com/company/logistics-property-company-llc,Very Low,,,25,,,,,  
"Aqua Security",https://www.linkedin.com/company/aquasecteam,Medium,,,25,3,3,,,  
"Apple Roofing",https://www.linkedin.com/company/apple-roofing-llc,Very Low,,,25,,,,,  
